timestamp,service_name,level,request_id,method,endpoint,status_code,latency_ms,bytes_sent,message,is_anomaly
2025-10-01T08:00:00Z,user-service,ERROR,7d4c0af561,GET,/api/v1/profile,500,739,2038,Internal server error,False
2025-10-01T08:00:03Z,order-service,INFO,ced2fbdd48,POST,/api/v1/orders,200,87,1217,Request handled successfully,False
2025-10-01T08:00:06Z,inventory-service,INFO,1fca760e77,DELETE,/api/v1/items,200,70,1212,Request handled successfully,False
2025-10-01T08:00:08Z,user-service,INFO,285b964a13,POST,/api/v1/logout,200,179,1076,Request handled successfully,False
2025-10-01T08:00:10Z,inventory-service,ERROR,8a78f2bdb9,POST,/api/v1/reindex,401,50,618,Unauthorized: token missing or expired,False
2025-10-01T08:00:14Z,auth-service,INFO,250e91d3a0,PUT,/oauth/token,201,110,667,Resource created successfully,False
2025-10-01T08:00:14Z,auth-service,INFO,f1e1a38170,PUT,/oauth/refresh,201,73,1191,Resource created successfully,False
2025-10-01T08:00:17Z,order-service,INFO,d7c1185e6f,PUT,/api/v1/orders,200,159,1511,Request handled successfully,False
2025-10-01T08:00:18Z,inventory-service,INFO,d9a7738ff5,PUT,/api/v1/items,304,65,1525,Not modified,False
2025-10-01T08:00:18Z,auth-service,INFO,cda7a37e5c,GET,/oauth/refresh,204,94,1729,No content,False
2025-10-01T08:00:20Z,inventory-service,INFO,10c705936f,GET,/api/v1/reindex,200,132,2033,Request handled successfully,False
2025-10-01T08:00:24Z,inventory-service,ERROR,e79cfc87e3,PUT,/api/v1/stock,500,1535,883,Unexpected null pointer in handler,True
2025-10-01T08:00:27Z,order-service,INFO,1debf356a0,GET,/api/v1/orders,201,117,1429,Resource created successfully,False
2025-10-01T08:00:30Z,payment-service,INFO,ed539de8c7,GET,/api/v1/refund,200,126,2093,Request handled successfully,False
2025-10-01T08:00:33Z,auth-service,INFO,2cdb7c3907,PUT,/oauth/refresh,204,119,2070,No content,False
2025-10-01T08:00:36Z,order-service,INFO,095200b6cd,PUT,/api/v1/cart,201,165,966,Resource created successfully,False
2025-10-01T08:00:38Z,payment-service,INFO,30430bbf61,GET,/api/v1/refund,201,252,1414,Resource created successfully,False
2025-10-01T08:00:38Z,order-service,INFO,6fe143de6f,DELETE,/api/v1/checkout,204,87,2362,No content,False
2025-10-01T08:00:42Z,inventory-service,ERROR,e9d2f62e93,POST,/api/v1/stock,500,987,2206,Internal server error,False
2025-10-01T08:00:44Z,order-service,ERROR,1f085aa23d,GET,/api/v1/cart,502,1326,2143,Bad gateway from upstream,False
2025-10-01T08:00:46Z,payment-service,INFO,ffb630dcfc,GET,/api/v1/refund,204,141,2133,No content,False
2025-10-01T08:00:47Z,order-service,INFO,d239e9f4cc,DELETE,/api/v1/checkout,304,83,2694,Not modified,False
2025-10-01T08:00:47Z,order-service,INFO,190e6cbe9d,PUT,/api/v1/orders/{id},201,168,1586,Resource created successfully,False
2025-10-01T08:00:51Z,inventory-service,INFO,1f78a272b9,PUT,/api/v1/reindex,304,120,2505,Not modified,False
2025-10-01T08:00:54Z,payment-service,INFO,ef47a03cdd,POST,/api/v1/refund,304,17,1349,Not modified,False
2025-10-01T08:00:57Z,user-service,INFO,a7e6e84eab,GET,/api/v1/login,201,107,239,Resource created successfully,False
2025-10-01T08:00:59Z,order-service,WARN,bec722b0ab,DELETE,/api/v1/orders,404,402,1450,Resource not found,False
2025-10-01T08:01:03Z,auth-service,INFO,5269215d95,DELETE,/oauth/revoke,204,184,1120,No content,False
2025-10-01T08:01:05Z,inventory-service,INFO,12cffb0c0b,GET,/api/v1/items,204,152,1671,No content,False
2025-10-01T08:01:07Z,payment-service,INFO,c963082c38,GET,/api/v1/transactions,304,109,2231,Not modified,False
2025-10-01T08:01:09Z,order-service,INFO,ecfa3ad4a5,DELETE,/api/v1/orders,204,22,1930,No content,False
2025-10-01T08:01:10Z,inventory-service,INFO,d45783dc6e,POST,/api/v1/items,204,148,1785,No content,False
2025-10-01T08:01:10Z,inventory-service,INFO,fac4dc3cd3,POST,/api/v1/items/{id},204,167,1468,No content,False
2025-10-01T08:01:12Z,order-service,ERROR,2786c3ce37,GET,/api/v1/cart,502,790,2914,Bad gateway from upstream,False
2025-10-01T08:01:16Z,user-service,INFO,60870a5a48,GET,/api/v1/profile,204,149,324,No content,False
2025-10-01T08:01:16Z,order-service,INFO,74cde771ed,GET,/api/v1/orders/{id},200,93,200,Request handled successfully,False
2025-10-01T08:01:20Z,user-service,INFO,6e39d72f8a,DELETE,/api/v1/login,201,97,200,Resource created successfully,False
2025-10-01T08:01:24Z,order-service,INFO,a54e25e318,DELETE,/api/v1/orders/{id},204,206,2543,No content,False
2025-10-01T08:01:25Z,inventory-service,INFO,8444395b5e,DELETE,/api/v1/items/{id},201,122,2429,Resource created successfully,False
2025-10-01T08:01:28Z,payment-service,INFO,0642b7f61d,DELETE,/api/v1/transactions,304,188,840,Not modified,False
2025-10-01T08:01:28Z,inventory-service,INFO,1a232f26ba,DELETE,/api/v1/items,201,146,233,Resource created successfully,False
2025-10-01T08:01:31Z,order-service,INFO,95a2a85d33,GET,/api/v1/cart,200,256,1947,Request handled successfully,False
2025-10-01T08:01:34Z,inventory-service,INFO,18d35950f4,POST,/api/v1/items/{id},200,130,1448,Request handled successfully,False
2025-10-01T08:01:35Z,user-service,INFO,fdcad26648,GET,/api/v1/logout,200,71,825,Request handled successfully,False
2025-10-01T08:01:35Z,user-service,INFO,b52617b37a,PUT,/api/v1/login,201,202,806,Resource created successfully,False
2025-10-01T08:01:39Z,payment-service,INFO,5799ce92d1,DELETE,/api/v1/refund,201,114,1737,Resource created successfully,False
2025-10-01T08:01:41Z,inventory-service,INFO,23ee06cd63,DELETE,/api/v1/items/{id},304,179,1557,Not modified,False
2025-10-01T08:01:45Z,auth-service,INFO,cde466728c,POST,/oauth/token,200,138,1936,Request handled successfully,False
2025-10-01T08:01:48Z,auth-service,INFO,29ebf87b5e,PUT,/oauth/refresh,304,249,1828,Not modified,False
2025-10-01T08:01:51Z,auth-service,INFO,beefbdb7e2,GET,/oauth/revoke,200,23,924,Request handled successfully,False
2025-10-01T08:01:54Z,user-service,INFO,4bd5fc17fd,DELETE,/api/v1/profile,200,137,200,Request handled successfully,False
2025-10-01T08:01:54Z,order-service,WARN,5e679871aa,POST,/api/v1/orders/{id},404,218,2487,Resource not found,False
2025-10-01T08:01:55Z,order-service,INFO,3ed2ca30fc,DELETE,/api/v1/orders/{id},204,132,2325,No content,False
2025-10-01T08:01:57Z,auth-service,INFO,da5e81bfae,POST,/oauth/token,304,60,1362,Not modified,False
2025-10-01T08:01:59Z,inventory-service,WARN,813be90eb9,GET,/api/v1/items,400,100,332,Bad request: validation failed,False
2025-10-01T08:01:59Z,user-service,INFO,8cd4b4b7f7,POST,/api/v1/logout,304,83,1225,Not modified,False
2025-10-01T08:02:01Z,user-service,INFO,6e81121245,POST,/api/v1/users,200,73,2660,Request handled successfully,False
2025-10-01T08:02:01Z,auth-service,INFO,bd22e90fb9,DELETE,/oauth/token,304,79,1494,Not modified,False
2025-10-01T08:02:04Z,auth-service,INFO,f7164c2f6b,PUT,/oauth/refresh,204,79,2576,No content,False
2025-10-01T08:02:07Z,auth-service,INFO,a3509f008f,DELETE,/oauth/token,201,86,1391,Resource created successfully,False
2025-10-01T08:02:11Z,payment-service,INFO,bd0410d311,POST,/api/v1/pay,200,207,928,Request handled successfully,False
2025-10-01T08:02:14Z,payment-service,INFO,25e4a217ad,GET,/api/v1/pay,304,125,809,Not modified,False
2025-10-01T08:02:15Z,inventory-service,INFO,fe40c10453,POST,/api/v1/items,200,120,2298,Request handled successfully,False
2025-10-01T08:02:19Z,order-service,INFO,248a9e5ff5,GET,/api/v1/orders,201,161,2345,Resource created successfully,False
2025-10-01T08:02:21Z,auth-service,ERROR,1f9ed9e51f,GET,/oauth/revoke,500,825,1965,Internal server error,False
2025-10-01T08:02:22Z,inventory-service,INFO,d91c816d63,GET,/api/v1/items,304,155,1438,Not modified,False
2025-10-01T08:02:26Z,inventory-service,INFO,cc0537205c,PUT,/api/v1/stock,201,62,2512,Resource created successfully,False
2025-10-01T08:02:27Z,payment-service,INFO,1e596badfb,POST,/api/v1/transactions,304,218,1140,Not modified,False
2025-10-01T08:02:27Z,order-service,INFO,7f4b914aec,PUT,/api/v1/checkout,204,263,759,No content,False
2025-10-01T08:02:29Z,user-service,INFO,9e43367829,GET,/api/v1/users,200,129,2400,Request handled successfully,False
2025-10-01T08:02:32Z,user-service,INFO,02d38457b6,POST,/api/v1/profile,201,118,1089,Resource created successfully,False
2025-10-01T08:02:32Z,payment-service,ERROR,80cdae9a7c,GET,/api/v1/refund,502,567,1374,Bad gateway from upstream,False
2025-10-01T08:02:34Z,payment-service,INFO,f0e2b2adae,POST,/api/v1/wallet,204,59,1009,No content,False
2025-10-01T08:02:34Z,inventory-service,INFO,bcd746ca53,GET,/api/v1/stock,200,34,1204,Request handled successfully,False
2025-10-01T08:02:37Z,order-service,WARN,21a0fe5d3d,PUT,/api/v1/orders,400,240,1310,Bad request: validation failed,False
2025-10-01T08:02:39Z,inventory-service,ERROR,aee4d2da64,POST,/api/v1/stock,502,670,1983,Bad gateway from upstream,False
2025-10-01T08:02:40Z,inventory-service,INFO,1ff6d37b02,POST,/api/v1/stock,201,92,1839,Resource created successfully,False
2025-10-01T08:02:41Z,payment-service,INFO,7290657853,DELETE,/api/v1/transactions,200,141,2596,Request handled successfully,False
2025-10-01T08:02:43Z,user-service,INFO,32c6225fdb,DELETE,/api/v1/profile,200,13,1817,Request handled successfully,False
2025-10-01T08:02:46Z,user-service,INFO,ca040290be,PUT,/api/v1/logout,204,106,2196,No content,False
2025-10-01T08:02:50Z,order-service,INFO,4d8bb7eee9,DELETE,/api/v1/checkout,200,30,1598,Request handled successfully,False
2025-10-01T08:02:52Z,user-service,INFO,f395367db6,GET,/api/v1/logout,200,105,2400,Request handled successfully,False
2025-10-01T08:02:52Z,payment-service,INFO,56f134c4ee,POST,/api/v1/wallet,201,43,777,Resource created successfully,False
